City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
0,Victoria,HK,71.65,overcast clouds,22.2855,114.1577,
1,Vestmannaeyjar,IS,49.19,overcast clouds,63.4427,-20.2734,
2,Deogarh,IN,85.37,broken clouds,21.5333,84.7333,
3,Leh,IN,50.81,broken clouds,34.1667,77.5833,
5,Coihaique,CL,45.21,clear sky,-45.5752,-72.0662,
6,Albany,US,78.03,broken clouds,42.6001,-73.9662,
7,Cape Town,ZA,64.35,clear sky,-33.9258,18.4232,
8,Lompoc,US,71.92,broken clouds,34.6391,-120.4579,
9,Solano,US,80.33,clear sky,38.2333,-121.9511,
10,Mataura,NZ,35.47,few clouds,-46.1927,168.8643,
11,Urucui,BR,93.31,overcast clouds,-7.2294,-44.5561,
13,Mar Del Plata,AR,52.95,overcast clouds,-38.0023,-57.5575,
16,Ushuaia,AR,46.06,few clouds,-54.8,-68.3,
17,Punta Arenas,CL,44.71,clear sky,-53.15,-70.9167,
18,Yellowknife,CA,46.56,overcast clouds,62.456,-114.3525,
19,Kaeo,NZ,61.99,overcast clouds,-35.1,173.7833,
20,Jamestown,US,78.53,broken clouds,42.097,-79.2353,
21,Rio Gallegos,AR,51.85,clear sky,-51.6226,-69.2181,
22,Mikkeli,FI,46.51,light intensity shower rain,61.6886,27.2723,
23,Andover,GB,64.49,overcast clouds,51.2083,-1.4825,
24,Port Alfred,ZA,63.18,scattered clouds,-33.5906,26.891,
25,Codrington,AU,48.22,scattered clouds,-38.2667,141.9667,
26,Loralai,PK,78.6,clear sky,30.3705,68.598,
28,Torbay,CA,40.26,overcast clouds,47.6666,-52.7314,
29,Tondano,ID,69.89,overcast clouds,1.3038,124.9112,
30,Kavieng,PG,81.05,overcast clouds,-2.5744,150.7967,
31,Semey,KZ,61.14,broken clouds,50.4111,80.2275,
32,Narsaq,GL,46.62,scattered clouds,60.9167,-46.05,
33,Muros,ES,67.15,overcast clouds,42.7762,-9.0603,
35,Avarua,CK,68.05,broken clouds,-21.2078,-159.775,
36,Melilla,ES,73.78,few clouds,35.2937,-2.9383,
38,Havoysund,NO,41.23,overcast clouds,70.9963,24.6622,
39,Amahai,ID,78.44,broken clouds,-3.3333,128.9167,
40,Nantucket,US,68.14,overcast clouds,41.2835,-70.0995,
41,Marsh Harbour,BS,78.82,clear sky,26.5412,-77.0636,
42,Brae,GB,54.21,overcast clouds,60.3964,-1.353,
43,Delicias,ES,84.87,few clouds,41.6493,-0.9076,
44,Hermanus,ZA,62.8,clear sky,-34.4187,19.2345,
45,Annau,TM,76.91,clear sky,37.8876,58.516,
46,Yukhnov,RU,48.22,light rain,54.7444,35.2297,
47,Bontang,ID,81.99,scattered clouds,0.1333,117.5,
48,Letpadan,MM,84.88,broken clouds,17.7833,95.75,
49,Lagoa,PT,57.65,light rain,39.05,-27.9833,
51,Najran,SA,80.53,clear sky,17.4924,44.1277,
52,Saint-Michel-Des-Saints,CA,70.93,overcast clouds,46.6834,-73.9159,
53,Nikolskoye,RU,51.87,broken clouds,59.7035,30.7861,
54,Rikitea,PF,77.09,overcast clouds,-23.1203,-134.9692,
55,Carnarvon,AU,68.85,clear sky,-24.8667,113.6333,
57,Esperance,AU,51.64,overcast clouds,-33.8667,121.9,
58,Airai,TL,60.4,broken clouds,-8.9266,125.4092,
59,Grand Forks,US,65.93,few clouds,47.9417,-97.4337,
60,Iquique,CL,62.64,few clouds,-20.2208,-70.1431,
61,Katsuura,JP,63.34,light rain,35.1333,140.3,
62,Sur,OM,84.74,clear sky,22.5667,59.5289,
63,New Norfolk,AU,50.92,broken clouds,-42.7826,147.0587,
64,Chuy,UY,61.74,overcast clouds,-33.6971,-53.4616,
65,Kautokeino,NO,35.38,overcast clouds,69.0125,23.0412,
66,Skala,PL,65.86,clear sky,50.2305,19.8536,
67,Annaberg-Buchholz,DE,67.69,clear sky,50.5795,13.0063,
68,Skjervoy,NO,41.0,overcast clouds,70.0311,20.9714,
70,Hobart,AU,51.26,scattered clouds,-42.8794,147.3294,
72,Ponta Do Sol,PT,74.03,broken clouds,32.6667,-17.1,
73,Busselton,AU,53.49,broken clouds,-33.65,115.3333,
74,Arraial Do Cabo,BR,78.66,broken clouds,-22.9661,-42.0278,
75,Saint-Philippe,RE,72.99,scattered clouds,-21.3585,55.7679,
76,Kahului,US,76.84,few clouds,20.8947,-156.47,
77,Hithadhoo,MV,83.73,overcast clouds,-0.6,73.0833,
78,Trincomalee,LK,82.65,overcast clouds,8.5711,81.2335,
79,East London,ZA,65.14,clear sky,-33.0153,27.9116,
80,Mattru,SL,87.51,overcast clouds,7.6244,-11.8332,
81,Norman Wells,CA,35.64,broken clouds,65.282,-126.8329,
82,Bluff,NZ,35.8,few clouds,-46.6,168.3333,
83,Bambanglipuro,ID,78.96,broken clouds,-7.95,110.2833,
85,Nichinan,JP,56.64,overcast clouds,31.6,131.3667,
86,Atuona,PF,78.04,light rain,-9.8,-139.0333,
