City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
0,Victoria,HK,22.2855,114.1577,71.65,91,100,11.99,overcast clouds
1,Vestmannaeyjar,IS,63.4427,-20.2734,49.19,93,100,12.66,overcast clouds
2,Deogarh,IN,21.5333,84.7333,85.37,63,55,8.1,broken clouds
3,Leh,IN,34.1667,77.5833,50.81,34,51,7.45,broken clouds
4,Barrow,US,71.2906,-156.7887,21.22,86,0,5.75,clear sky
5,Coihaique,CL,-45.5752,-72.0662,45.21,81,0,5.75,clear sky
6,Albany,US,42.6001,-73.9662,78.03,77,82,4.25,broken clouds
7,Cape Town,ZA,-33.9258,18.4232,64.35,70,0,5.01,clear sky
8,Lompoc,US,34.6391,-120.4579,71.92,84,75,8.05,broken clouds
9,Solano,US,38.2333,-121.9511,80.33,50,0,23.02,clear sky
10,Mataura,NZ,-46.1927,168.8643,35.47,98,14,2.93,few clouds
11,Urucui,BR,-7.2294,-44.5561,93.31,39,99,8.19,overcast clouds
12,Upernavik,GL,72.7868,-56.1549,21.58,69,9,3.53,clear sky
13,Mar Del Plata,AR,-38.0023,-57.5575,52.95,87,85,5.01,overcast clouds
14,Qaanaaq,GL,77.484,-69.3632,26.06,56,100,2.64,overcast clouds
15,Tiksi,RU,71.6872,128.8694,0.93,100,79,2.8,broken clouds
16,Ushuaia,AR,-54.8,-68.3,46.06,66,20,3.44,few clouds
17,Punta Arenas,CL,-53.15,-70.9167,44.71,76,0,14.97,clear sky
18,Yellowknife,CA,62.456,-114.3525,46.56,52,100,11.99,overcast clouds
19,Kaeo,NZ,-35.1,173.7833,61.99,92,94,8.66,overcast clouds
20,Jamestown,US,42.097,-79.2353,78.53,64,75,8.05,broken clouds
21,Rio Gallegos,AR,-51.6226,-69.2181,51.85,58,0,16.11,clear sky
22,Mikkeli,FI,61.6886,27.2723,46.51,76,40,9.22,light intensity shower rain
23,Andover,GB,51.2083,-1.4825,64.49,86,100,10.54,overcast clouds
24,Port Alfred,ZA,-33.5906,26.891,63.18,88,28,11.95,scattered clouds
25,Codrington,AU,-38.2667,141.9667,48.22,87,33,12.75,scattered clouds
26,Loralai,PK,30.3705,68.598,78.6,17,0,26.06,clear sky
27,Chokurdakh,RU,70.6333,147.9167,4.64,97,68,5.26,broken clouds
28,Torbay,CA,47.6666,-52.7314,40.26,82,85,17.0,overcast clouds
29,Tondano,ID,1.3038,124.9112,69.89,90,100,2.24,overcast clouds
30,Kavieng,PG,-2.5744,150.7967,81.05,72,100,4.38,overcast clouds
31,Semey,KZ,50.4111,80.2275,61.14,66,78,6.85,broken clouds
32,Narsaq,GL,60.9167,-46.05,46.62,65,48,6.89,scattered clouds
33,Muros,ES,42.7762,-9.0603,67.15,81,97,19.33,overcast clouds
34,Khatanga,RU,71.9667,102.5,31.8,94,100,5.82,overcast clouds
35,Avarua,CK,-21.2078,-159.775,68.05,88,75,2.3,broken clouds
36,Melilla,ES,35.2937,-2.9383,73.78,56,20,13.8,few clouds
37,Adrar,MR,20.5022,-10.0711,104.43,7,10,19.55,clear sky
